mid,x,y,z,xxx,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,sgz
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,83,70,81,56.45,3,-6.00,-26.00,-997.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,82,83,70,81,56.45,3,-2.00,-4.00,-981.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,82,70,81,56.47,4,-33.00,-20.00,-977.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,82,70,81,56.42,4,-7.00,-5.00,-1008.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,82,70,81,56.48,4,3.00,-15.00,-1000.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,82,70,81,56.40,4,1.00,-21.00,-984.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,82,70,81,56.48,4,2.00,-8.00,-990.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,82,70,81,56.43,4,2.00,-2.00,-1005.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,82,70,81,56.41,4,2.00,-25.00,-966.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,82,70,81,56.35,4,19.00,-4.00,-991.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,81,70,81,56.43,4,-18.00,1.00,-1008.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,81,70,81,56.41,4,-4.00,-5.00,-1002.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,81,70,81,56.43,5,3.00,2.00,-1014.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,81,70,81,56.49,5,-3.00,-2.00,-990.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,81,70,81,56.41,5,2.00,-12.00,-1000.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,81,70,81,56.39,5,0.00,-22.00,-1003.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,81,70,81,56.41,5,-3.00,-8.00,-997.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,81,70,81,56.42,5,-1.00,-5.00,-1007.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,81,70,81,56.41,5,5.00,5.00,-1005.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,80,70,81,56.39,5,-8.00,-6.00,-994.00,
-1,-100,-100,-100,"-1,-1,-1",0,0,-127,0,0,0,78,81,80,70,81,56.42,5,0.00,-9.00,-1006.00,
